"","median","mean","lower","upper"
"pop",250,250,250,250
"ru",253.955814292763,253.960973284206,248.378527036069,259.346619219793
"wu",323.50540323023,323.549959037071,316.417795391511,330.485251220418
"ww",254.674133522482,254.674148456729,254.668895595984,254.67953127905
"cw",248.478045934026,248.47806089067,248.472094534719,248.484060481259
