"","median","mean","lower","upper"
"pop",0.5,0.5,0.5,0.5
"ru",0.49475350488316,0.494876555481086,0.479515600761789,0.510689204013381
"wu",0.494817724981893,0.494821113359887,0.479780014001087,0.510002636897861
"ww",0.482520218020895,0.482520382739558,0.482505942974144,0.482535027099896
"cw",0.511858856944822,0.511858810439217,0.511841948874234,0.511875191173423
