"","median","mean","lower","upper"
"pop",283.287113266707,283.287113266707,283.287113266707,283.287113266707
"ru",287.025432910426,287.053979945058,280.430617979992,293.654999274126
"wu",365.637877700363,365.700395913001,357.442448757017,374.388187868646
"ww",286.116092418764,286.116147562225,286.109886222131,286.122510842298
"cw",283.256809784002,283.256904736884,283.249993562119,283.263911926903
