"","median","mean","lower","upper"
"pop",283.287113266707,283.287113266707,283.287113266707,283.287113266707
"ru",287.025432910426,287.053979945058,280.430617979992,293.654999274126
"wu",365.637877700363,365.700395913001,357.442448757017,374.388187868646
"ww",288.245957613242,288.286033776312,281.952392536087,294.646003343988
"cw",285.010920897859,285.028606029325,278.493465814556,292.027792832289
