"","median","mean","lower","upper"
"pop",0.5,0.5,0.5,0.5
"ru",0.49475350488316,0.494876555481086,0.479515600761789,0.510689204013381
"wu",0.494817724981893,0.494821113359887,0.479780014001087,0.510002636897861
"ww",0.497686235626596,0.497869806213759,0.481716687462574,0.514245738998598
"cw",0.52291558946055,0.523076718666835,0.506820335173874,0.540218148142677
