"","median","mean","lower","upper"
"pop",283246501.759922,283246501.759922,283246501.759922,283246501.759922
"ru",287007075.255733,287051257.099597,280441788.552007,293578136.987984
"wu",365627316.733027,365697913.981241,357366590.193443,374421368.694977
"ww",288247167.910219,288283241.914982,281977499.133082,294695719.662837
"cw",285019319.22651,285030703.027389,278418949.670755,292024475.162556
