"","median","mean","lower","upper"
"pop",250,250,250,250
"ru",253.955814292763,253.960973284206,248.378527036069,259.346619219793
"wu",323.50540323023,323.549959037071,316.417795391511,330.485251220418
"ww",254.666161013881,254.67165744634,249.448267189402,259.941088725155
"cw",248.556056458955,248.574217986535,242.951797460515,254.442019456784
